CountyRef,Longitude,Latitude,Mean_SO2
"Salt Lake, Utah, USA",-111.894167,40.598056,0.854144
"Salt Lake, Utah, USA",-111.945849,40.777145,1.248913
"Uintah, Utah, USA",-109.43128,39.63551,0.184444
"Botetourt, Virginia, USA",-79.986486,37.447965,3.640845
"Giles, Virginia, USA",-80.6539,37.3863,14.977716
"Covington City, Virginia, USA",-79.990833,37.791389,8.687363
"Chelan, Washington, USA",-120.095556,47.334444,0.362604
"Whatcom, Washington, USA",-122.7047,48.855274,17.047368
"Whatcom, Washington, USA",-122.688888,48.848065,10.215193
"Brooke, West Virginia, USA",-80.65033,40.240877,1.031153
"Mason, West Virginia, USA",-82.08866,38.95649,5.947222
"Mineral, West Virginia, USA",-79.0691,39.4452,9.552035
"Forest, Wisconsin, USA",-88.8086,45.565,0.554144
"Outagamie, Wisconsin, USA",-88.252186,44.289283,3.455956
"Carbon, Wyoming, USA",-107.10909,41.77882,2.607242
"Converse, Wyoming, USA",-105.79821,42.77612,2.427397
"Fremont, Wyoming, USA",-107.60017,43.27106,9.604959
"Laramie, Wyoming, USA",-104.52277,41.08536,0.337037
"Park, Wyoming, USA",-109.01673,44.52612,0.298905
"Sweetwater, Wyoming, USA",-109.755297,41.6043,1.869613
"Sweetwater, Wyoming, USA",-109.70166,41.62993,2.384615
"Sweetwater, Wyoming, USA",-109.53044,41.55643,1.328571
